
 Sensibility Analysis parameter: Hybrid Models - Number of cycles

 Problem: FT20

 Method : Hybrid Neighborhood (10 cycles)


 First operator: Parallel Taboo Search

 With the following fixed parameters:

	 Population size: 12
	 Neighborhood generation method: N5
	 Tenure: 8
	 Maximum number of iterations without upgrade: 200


 Second operator: Similar Particle Swarm

 with the following fixed parameters:

	 Population size: 12
	 Crossover method: C1 with 1 floating point
	 Mutation method: M1
	 Mutation percentage: 20
	 Number of iterations: 1


 Results:


 Convergence Analysis:

    0	      2000
    1	      1178
    2	      1178
    3	      1178
    4	      1178
    5	      1177
    6	      1177
    7	      1177
    8	      1177
    9	      1177
   10	      1165

 Final results:

        100       1165          168659         37

 Convergence Analysis:

    0	      2000
    1	      1178
    2	      1178
    3	      1178
    4	      1178
    5	      1165

 Final results:

        100       1165          114050         24

 Convergence Analysis:

    0	      2000
    1	      1178
    2	      1178
    3	      1178
    4	      1178
    5	      1178
    6	      1178
    7	      1178
    8	      1178
    9	      1178
   10	      1178
   11	      1178
   12	      1178
   13	      1178
   14	      1178
   15	      1178
   16	      1178
   17	      1175
   18	      1175
   19	      1175
   20	      1175
   21	      1175
   22	      1175
   23	      1175
   24	      1175
   25	      1175
   26	      1175
   27	      1175
   28	      1175
   29	      1175
   30	      1175
   31	      1175
   32	      1175
   33	      1175
   34	      1175
   35	      1175
   36	      1175
   37	      1175
   38	      1175
   39	      1175
   40	      1175
   41	      1175
   42	      1175
   43	      1175
   44	      1175
   45	      1175
   46	      1175
   47	      1175
   48	      1175
   49	      1175
   50	      1175
   51	      1175
   52	      1175
   53	      1175
   54	      1175
   55	      1175
   56	      1175
   57	      1175
   58	      1175
   59	      1175
   60	      1175
   61	      1175
   62	      1175
   63	      1175
   64	      1175
   65	      1175
   66	      1175
   67	      1175
   68	      1175
   69	      1175
   70	      1175
   71	      1175
   72	      1175
   73	      1175
   74	      1175
   75	      1175
   76	      1175
   77	      1175
   78	      1175
   79	      1175
   80	      1175
   81	      1175
   82	      1175
   83	      1175
   84	      1175
   85	      1175
   86	      1175
   87	      1175
   88	      1175
   89	      1175
   90	      1175
   91	      1175
   92	      1175
   93	      1175
   94	      1175
   95	      1175
   96	      1175
   97	      1175
   98	      1175
   99	      1175
  100	      1175

 Final results:

        100       1175          882788        198

 Convergence Analysis:

    0	      2000
    1	      1178
    2	      1175
    3	      1175
    4	      1175
    5	      1175
    6	      1175
    7	      1175
    8	      1175
    9	      1173
   10	      1173
   11	      1173
   12	      1173
   13	      1173
   14	      1173
   15	      1173
   16	      1173
   17	      1173
   18	      1173
   19	      1173
   20	      1173
   21	      1173
   22	      1173
   23	      1173
   24	      1173
   25	      1173
   26	      1173
   27	      1173
   28	      1173
   29	      1173
   30	      1173
   31	      1173
   32	      1172
   33	      1172
   34	      1166
   35	      1165

 Final results:

        100       1165          363251         79

 Convergence Analysis:

    0	      2000
    1	      1178
    2	      1178
    3	      1178
    4	      1178
    5	      1178
    6	      1178
    7	      1178
    8	      1178
    9	      1178
   10	      1178
   11	      1176
   12	      1176
   13	      1166
   14	      1166
   15	      1165

 Final results:

        100       1165          186167         41
