
 Sensibility Analysis parameter: Hybrid Models - Number of cycles

 Problem: FT20

 Method : Hybrid Improved Neighborhood (10 cycles)


 First operator: Parallel Taboo Search

 With the following fixed parameters:

	 Population size: 12
	 Neighborhood generation method: N5
	 Tenure: 8
	 Maximum number of iterations without upgrade: 100


 Second operator: Similar Particle Swarm

 with the following fixed parameters:

	 Population size: 12
	 Crossover method: C1 with 1 floating point
	 Mutation method: M1
	 Mutation percentage: 20
	 Number of iterations: 1


 Results:


 Convergence Analysis:

    0	      2000
    1	      1182
    2	      1180
    3	      1180
    4	      1180
    5	      1180
    6	      1180
    7	      1180
    8	      1180
    9	      1180
   10	      1180
   11	      1178
   12	      1178
   13	      1178
   14	      1178
   15	      1178
   16	      1178
   17	      1178
   18	      1178
   19	      1178
   20	      1178
   21	      1178
   22	      1178
   23	      1178
   24	      1178
   25	      1178
   26	      1178
   27	      1178
   28	      1178
   29	      1177
   30	      1177
   31	      1177
   32	      1177
   33	      1177
   34	      1177
   35	      1177
   36	      1177
   37	      1177
   38	      1177
   39	      1177
   40	      1177
   41	      1177
   42	      1177
   43	      1177
   44	      1177
   45	      1177
   46	      1177
   47	      1177
   48	      1177
   49	      1177
   50	      1177
   51	      1177
   52	      1177
   53	      1177
   54	      1177
   55	      1177
   56	      1177
   57	      1177
   58	      1177
   59	      1177
   60	      1177
   61	      1177
   62	      1177
   63	      1177
   64	      1177
   65	      1177
   66	      1177
   67	      1177
   68	      1177
   69	      1177
   70	      1177
   71	      1176
   72	      1176
   73	      1176
   74	      1176
   75	      1176
   76	      1176
   77	      1176
   78	      1176
   79	      1176
   80	      1176
   81	      1176
   82	      1176
   83	      1176
   84	      1176
   85	      1176
   86	      1176
   87	      1175
   88	      1175
   89	      1175
   90	      1175
   91	      1175
   92	      1175
   93	      1175
   94	      1175
   95	      1175
   96	      1175
   97	      1175
   98	      1175
   99	      1175
  100	      1175

 Final results:

        100       1175          467452        103

 Convergence Analysis:

    0	      2000
    1	      1182
    2	      1182
    3	      1182
    4	      1179
    5	      1178
    6	      1178
    7	      1178
    8	      1178
    9	      1178
   10	      1178
   11	      1178
   12	      1178
   13	      1178
   14	      1178
   15	      1173
   16	      1171
   17	      1166
   18	      1165

 Final results:

        100       1165          126029         28

 Convergence Analysis:

    0	      2000
    1	      1182
    2	      1180
    3	      1178
    4	      1178
    5	      1178
    6	      1178
    7	      1178
    8	      1178
    9	      1178
   10	      1178
   11	      1178
   12	      1176
   13	      1172
   14	      1165

 Final results:

        100       1165          122576         26

 Convergence Analysis:

    0	      2000
    1	      1182
    2	      1182
    3	      1182
    4	      1178
    5	      1178
    6	      1178
    7	      1178
    8	      1178
    9	      1178
   10	      1178
   11	      1178
   12	      1178
   13	      1178
   14	      1178
   15	      1170
   16	      1170
   17	      1170
   18	      1170
   19	      1170
   20	      1170
   21	      1170
   22	      1170
   23	      1170
   24	      1165

 Final results:

        100       1165          177930         37

 Convergence Analysis:

    0	      2000
    1	      1182
    2	      1182
    3	      1180
    4	      1180
    5	      1178
    6	      1178
    7	      1178
    8	      1178
    9	      1178
   10	      1178
   11	      1178
   12	      1178
   13	      1178
   14	      1178
   15	      1178
   16	      1178
   17	      1174
   18	      1174
   19	      1174
   20	      1174
   21	      1166
   22	      1165

 Final results:

        100       1165          157230         33
